"Timestamp","학년","불안한 부분","앱 알게된 방법","대부분 과목의 목표 성과","앱 효과","디자인 평가","레이아웃 평가","불편한 점"
"2023/11/25 9:03:42 PM GMT+9","중2","중간고사 점수가 낮다;기말고사가 불안하다","선생님","A;B","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/25 11:28:03 PM GMT+9","중1","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","스토어에 시험대비앱 검색 후 설치","A;B","아직 해본적 없다","깊게 생각을 해보지 않음","잘 모르겠다","아직 해보지 않았다"
"2023/11/26 4:33:52 PM GMT+9","중2","기말고사가 불안하다","부모님;친구","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/26 4:50:35 PM GMT+9","중2","기말고사가 불안하다","친구","A;B","계산력 저하","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/26 9:05:27 PM GMT+9","중2","기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/26 11:19:47 PM GMT+9","중2","기말고사가 불안하다","검색;선생님","A","별로 효과 없다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/27 12:52:55 AM GMT+9","중2","수행평가 점수가 낮다","검색","A","별로 효과 없다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/27 3:23:00 PM GMT+9","중2","수행평가 점수가 낮다;기말고사가 불안하다","검색","A;B;C","미리계산할 수 있다","디자인 괜찮다","레이아웃 괜찮다","없음"
"2023/11/27 4:45:38 PM GMT+9","중2","중간고사 점수가 낮다;기말고사가 불안하다","친구","C","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/27 8:52:30 PM GMT+9","중1","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","검색","B;C","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/27 11:36:43 PM GMT+9","중2","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","검색;SNS","A;B;C","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/28 6:22:23 PM GMT+9","중2","기말고사가 불안하다","검색","C","계산력 저하","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/28 8:01:36 PM GMT+9","중2","기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃이 못생겼다",""
"2023/11/28 10:36:39 PM GMT+9","중2","기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/28 11:32:49 PM GMT+9","중2","중간고사 점수가 낮다;기말고사가 불안하다","검색","A;B;C","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/29 11:21:38 AM GMT+9","중3","기말고사가 불안하다","SNS","A","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/11/29 4:54:28 PM GMT+9","중2","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","검색","B;C;D","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
