"Timestamp","학년","불안한 부분","앱 알게된 방법","대부분 과목의 목표 성과","앱 효과","디자인 평가","레이아웃 평가","불편한 점"
"2023/12/03 9:07:39 PM GMT+9","중2","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","SNS","B;C","기말고사가 덜 불안하다","색깔이 마음에 들지 않는다;버튼, 박스 등이 마음에 들지 않는다","레이아웃이 못생겼다",""
"2023/12/04 12:44:47 AM GMT+9","중2","중간고사 점수가 낮다","검색;","A","명확한 목표를 세울 수 있다","앱 로고가 마음에 들지 않는다","레이아웃 괜찮다",""
"2023/12/04 3:14:18 AM GMT+9","중2","중간고사 점수가 낮다;기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","색깔이 마음에 들지 않는다;앱 로고가 마음에 들지 않는다","레이아웃 괜찮다",""
"2023/12/04 8:46:45 AM GMT+9","중2","중간고사 점수가 낮다","친구","A","몰라","상관 없음","몰라","없어"
"2023/12/04 3:45:53 PM GMT+9","중2","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","내가 찾아봤다","D","별로 효과 없다","앱 로고가 마음에 들지 않는다","레이아웃이 불편하다",""
"2023/12/04 5:29:52 PM GMT+9","중2","수행평가 점수가 낮다;기말고사가 불안하다","검색","C","명확한 목표를 세울 수 있다","앱 로고가 마음에 들지 않는다","?",""
"2023/12/04 6:08:08 PM GMT+9","중2","중간고사 점수가 낮다;기말고사가 불안하다","SNS","D","기말고사가 덜 불안하다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/04 9:05:31 PM GMT+9","중2","수행평가 점수가 낮다;중간고사 점수가 낮다;기말고사가 불안하다","SNS","A","별로 효과 없다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/04 10:29:44 PM GMT+9","중2","중간고사 점수가 낮다;기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/04 11:26:03 PM GMT+9","중2","기말고사가 불안하다","친구","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/05 8:31:34 AM GMT+9","중2","기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","없다"
"2023/12/05 1:15:54 PM GMT+9","고1","기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다","앙"
"2023/12/05 4:14:23 PM GMT+9","중2","기말고사가 불안하다","검색","C","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
"2023/12/05 8:49:50 PM GMT+9","중2","기말고사가 불안하다","검색","A","명확한 목표를 세울 수 있다","디자인 괜찮다","레이아웃 괜찮다",""
